d,density,n_samples,epsilon,delta,k,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,bic_score_mean,bic_score_std,bic_score_ci95_low,bic_score_ci95_high,found_true_by_k_mean,found_true_by_k_std,found_true_by_k_ci95_low,found_true_by_k_ci95_high,is_true_at_k_mean,is_true_at_k_std,is_true_at_k_ci95_low,is_true_at_k_ci95_high
8,0.4,1000,1,1,1,50,0.32,0.7406560798180412,0.11470060886597838,0.5252993911340216,0.24,0.6246631745450127,0.06685220186210858,0.4131477981378914,-1021.8193531556506,944.257868303914,0.0,-760.0844255440015,0.78,0.4184519575964803,0.6640110350076354,0.8959889649923647,0.78,0.4184519575964803,0.6640110350076354,0.8959889649923647
8,0.4,1000,1,1,2,50,0.62,0.752953368748825,0.4112919742798567,0.8287080257201433,0.88,0.7989789402348322,0.6585343367472059,1.1014656632527942,-952.3703218459434,906.7338548372214,0.0,-701.0365201111108,0.8,0.40406101782088427,0.6880000000000001,0.912,0.02,0.1414213562373095,0.0,0.0592
8,0.4,1000,1,1,3,50,0.98,0.5886685079439004,0.8168294144154652,1.1431705855845347,0.84,0.9337219793353253,0.5811854718142739,1.098814528185726,-953.0679026648097,906.8854072572777,0.0,-701.6920927423578,0.82,0.38808793449160356,0.7124275128111281,0.9275724871888718,0.02,0.14142135623730948,0.0,0.05919999999999999
8,0.4,1000,1,1,4,50,1.22,0.8640200300021394,0.9805058664601574,1.4594941335398426,0.82,1.1008345628176277,0.5148642269415138,1.125135773058486,-953.4943449083885,906.9246362078308,0.0,-702.1076612756102,0.82,0.38808793449160356,0.7124275128111281,0.9275724871888718,0.0,0.0,0.0,0.0
8,0.4,1000,1,1,5,50,1.24,0.7708992893275453,1.0263176188826042,1.4536823811173958,0.92,0.9441549509633317,0.6582935996197266,1.1817064003802735,-953.7335765754902,906.9383846893204,0.0,-702.343082058071,0.82,0.38808793449160356,0.7124275128111281,0.9275724871888718,0.0,0.0,0.0,0.0
8,0.4,1000,1,1,6,50,1.12,0.8241260058203405,0.8915639257910434,1.348436074208957,0.74,1.006306643734647,0.4610660293187651,1.0189339706812348,-953.5346931806478,906.8986523192614,0.0,-702.1552119143225,0.82,0.38808793449160356,0.7124275128111281,0.9275724871888718,0.0,0.0,0.0,0.0
8,0.4,1000,1,1,7,50,1.3,0.8630747123996123,1.0607678951311093,1.5392321048688908,0.88,0.9822921964383478,0.6077224945023919,1.152277505497608,-954.1374370588857,907.0573492875949,0.0,-702.7139672371952,0.86,0.3505098327538656,0.7628436311917741,0.9571563688082259,0.04,0.19794866372215744,0.0,0.09486857023834319
8,0.4,1000,1,1,8,50,1.32,0.8191583535332259,1.0929408887536112,1.547059111246389,0.78,0.9749934589000888,0.5097456013308942,1.050254398669106,-954.1088943769421,907.0848591869186,0.0,-702.6777992001979,0.88,0.3282607226593159,0.7890107698680773,0.9709892301319227,0.02,0.14142135623730948,0.0,0.05919999999999999
8,0.4,1000,1,1,9,50,1.46,0.8134080483135291,1.2345347920409893,1.6854652079590107,1.08,1.3223355960464154,0.7134672729482401,1.44653272705176,-954.188799534345,906.9345079994873,0.0,-702.7993795805241,0.88,0.3282607226593159,0.7890107698680773,0.9709892301319227,0.0,0.0,0.0,0.0
8,0.4,1000,1,1,10,50,1.4,0.8081220356417685,1.176,1.6239999999999999,0.94,1.0184021097498066,0.6577133371907202,1.2222866628092797,-954.2817618206129,906.9231074794257,0.0,-702.8955019297296,0.9,0.30304576336566325,0.8160000000000001,0.984,0.02,0.1414213562373095,0.0,0.0592
