run_id,d,density,n_samples,epsilon,delta,k,ds,dp,bic_score,is_true_at_k,found_true_by_k,graph_seed,noise_seed,frontier_size,status,error_message
0,8,0.4,1000,2,2,1,0,0,-1548.2727701616104,1,1,3653403230,2735729614,1,ok,
0,8,0.4,1000,2,2,2,0,1,-1548.2727701616104,0,1,3653403230,2735729614,2,ok,
0,8,0.4,1000,2,2,3,1,1,-1550.2723067687448,0,1,3653403230,2735729614,3,ok,
0,8,0.4,1000,2,2,4,1,0,-1550.2723067687448,0,1,3653403230,2735729614,4,ok,
0,8,0.4,1000,2,2,5,1,1,-1550.3336441107106,0,1,3653403230,2735729614,5,ok,
0,8,0.4,1000,2,2,6,1,0,-1550.3336441107106,0,1,3653403230,2735729614,6,ok,
0,8,0.4,1000,2,2,7,1,0,-1550.8245437303772,0,1,3653403230,2735729614,7,ok,
0,8,0.4,1000,2,2,8,1,1,-1550.824543730377,0,1,3653403230,2735729614,8,ok,
0,8,0.4,1000,2,2,9,1,1,-1550.9642547410947,0,1,3653403230,2735729614,9,ok,
0,8,0.4,1000,2,2,10,1,0,-1550.9642547410947,0,1,3653403230,2735729614,10,ok,
1,8,0.4,1000,2,2,1,1,1,-959.0360958321828,0,0,2195314464,1158725111,1,ok,
1,8,0.4,1000,2,2,2,0,3,-951.597377277322,0,0,2195314464,1158725111,2,ok,
1,8,0.4,1000,2,2,3,0,2,-951.597377277322,0,0,2195314464,1158725111,3,ok,
1,8,0.4,1000,2,2,4,0,1,-951.597377277322,0,0,2195314464,1158725111,4,ok,
1,8,0.4,1000,2,2,5,0,2,-951.597377277322,0,0,2195314464,1158725111,5,ok,
1,8,0.4,1000,2,2,6,0,1,-951.597377277322,0,0,2195314464,1158725111,6,ok,
1,8,0.4,1000,2,2,7,0,0,-951.597377277322,1,1,2195314464,1158725111,7,ok,
1,8,0.4,1000,2,2,8,0,1,-951.5973772773227,0,1,2195314464,1158725111,8,ok,
1,8,0.4,1000,2,2,9,0,3,-951.597377277323,0,1,2195314464,1158725111,9,ok,
1,8,0.4,1000,2,2,10,0,4,-951.597377277323,0,1,2195314464,1158725111,10,ok,
2,8,0.4,1000,2,2,1,0,0,-79.20597752090731,1,1,1322117303,175979944,1,ok,
2,8,0.4,1000,2,2,2,1,1,-78.62678349048389,0,1,1322117303,175979944,2,ok,
2,8,0.4,1000,2,2,3,1,2,-78.62678349048412,0,1,1322117303,175979944,3,ok,
2,8,0.4,1000,2,2,4,1,1,-78.62678349048423,0,1,1322117303,175979944,4,ok,
2,8,0.4,1000,2,2,5,1,2,-78.62678349048457,0,1,1322117303,175979944,5,ok,
2,8,0.4,1000,2,2,6,1,0,-78.62678349048457,0,1,1322117303,175979944,6,ok,
2,8,0.4,1000,2,2,7,1,0,-78.62678349048457,0,1,1322117303,175979944,7,ok,
2,8,0.4,1000,2,2,8,2,1,-79.36986392493327,0,1,1322117303,175979944,8,ok,
2,8,0.4,1000,2,2,9,2,2,-79.3698639249335,0,1,1322117303,175979944,9,ok,
2,8,0.4,1000,2,2,10,2,1,-79.36986392493361,0,1,1322117303,175979944,10,ok,
3,8,0.4,1000,2,2,1,0,0,-1813.793844275666,1,1,323153948,70985653,1,ok,
3,8,0.4,1000,2,2,2,0,1,-1813.793844275666,0,1,323153948,70985653,2,ok,
3,8,0.4,1000,2,2,3,1,1,-1815.6192645140545,0,1,323153948,70985653,3,ok,
3,8,0.4,1000,2,2,4,1,0,-1815.6192645140545,0,1,323153948,70985653,4,ok,
3,8,0.4,1000,2,2,5,1,1,-1815.8815283689382,0,1,323153948,70985653,5,ok,
3,8,0.4,1000,2,2,6,1,0,-1815.8815283689382,0,1,323153948,70985653,6,ok,
3,8,0.4,1000,2,2,7,1,1,-1816.2084953823114,0,1,323153948,70985653,7,ok,
3,8,0.4,1000,2,2,8,1,0,-1816.2084953823114,0,1,323153948,70985653,8,ok,
3,8,0.4,1000,2,2,9,1,1,-1816.2531092350196,0,1,323153948,70985653,9,ok,
3,8,0.4,1000,2,2,10,1,0,-1816.2531092350196,0,1,323153948,70985653,10,ok,
4,8,0.4,1000,2,2,1,0,0,-2624.9015391582916,1,1,752767290,3492969079,1,ok,
4,8,0.4,1000,2,2,2,1,0,-2625.343016124752,0,1,752767290,3492969079,2,ok,
4,8,0.4,1000,2,2,3,1,0,-2626.088826726284,0,1,752767290,3492969079,3,ok,
4,8,0.4,1000,2,2,4,1,1,-2626.47537720764,0,1,752767290,3492969079,4,ok,
4,8,0.4,1000,2,2,5,1,2,-2626.47537720764,0,1,752767290,3492969079,5,ok,
4,8,0.4,1000,2,2,6,1,0,-2626.47537720764,0,1,752767290,3492969079,6,ok,
4,8,0.4,1000,2,2,7,1,2,-2626.47537720764,0,1,752767290,3492969079,7,ok,
4,8,0.4,1000,2,2,8,1,1,-2626.47537720764,0,1,752767290,3492969079,8,ok,
4,8,0.4,1000,2,2,9,1,0,-2626.4753772076406,0,1,752767290,3492969079,9,ok,
4,8,0.4,1000,2,2,10,1,0,-2626.5286677173385,0,1,752767290,3492969079,10,ok,
5,8,0.4,1000,2,2,1,1,2,-299.7218038573201,0,0,2789219405,3920255352,1,ok,
5,8,0.4,1000,2,2,2,0,4,-293.1909436404452,0,0,2789219405,3920255352,2,ok,
5,8,0.4,1000,2,2,3,0,4,-293.190943640408,0,0,2789219405,3920255352,3,ok,
5,8,0.4,1000,2,2,4,0,5,-293.19094364040575,0,0,2789219405,3920255352,4,ok,
5,8,0.4,1000,2,2,5,0,4,-293.19094364040717,0,0,2789219405,3920255352,5,ok,
5,8,0.4,1000,2,2,6,0,3,-293.19094364040944,0,0,2789219405,3920255352,6,ok,
5,8,0.4,1000,2,2,7,0,6,-293.19094364043144,0,0,2789219405,3920255352,7,ok,
5,8,0.4,1000,2,2,8,0,5,-293.1909436404336,0,0,2789219405,3920255352,8,ok,
5,8,0.4,1000,2,2,9,0,5,-293.19094364044304,0,0,2789219405,3920255352,9,ok,
5,8,0.4,1000,2,2,10,0,3,-293.1909436404562,0,0,2789219405,3920255352,10,ok,
6,8,0.4,1000,2,2,1,4,2,-1372.6575782410057,0,0,2163061374,2605480816,1,ok,
6,8,0.4,1000,2,2,2,2,3,-1367.235122848525,0,0,2163061374,2605480816,2,ok,
6,8,0.4,1000,2,2,3,2,3,-1364.2002633619675,0,0,2163061374,2605480816,3,ok,
6,8,0.4,1000,2,2,4,2,2,-1364.2002633619677,0,0,2163061374,2605480816,4,ok,
6,8,0.4,1000,2,2,5,2,2,-1364.2002633619677,0,0,2163061374,2605480816,5,ok,
6,8,0.4,1000,2,2,6,2,1,-1364.2002633619677,0,0,2163061374,2605480816,6,ok,
6,8,0.4,1000,2,2,7,2,2,-1364.2002633619677,0,0,2163061374,2605480816,7,ok,
6,8,0.4,1000,2,2,8,2,3,-1364.200263361968,0,0,2163061374,2605480816,8,ok,
6,8,0.4,1000,2,2,9,2,2,-1364.2002633619682,0,0,2163061374,2605480816,9,ok,
6,8,0.4,1000,2,2,10,4,3,-1364.6168420160645,0,0,2163061374,2605480816,10,ok,
7,8,0.4,1000,2,2,1,0,0,-1927.5330660782374,1,1,4169308740,3133163870,1,ok,
7,8,0.4,1000,2,2,2,0,1,-1927.5330660782374,0,1,4169308740,3133163870,2,ok,
7,8,0.4,1000,2,2,3,1,1,-1929.3645338296146,0,1,4169308740,3133163870,3,ok,
7,8,0.4,1000,2,2,4,1,0,-1929.3645338296146,0,1,4169308740,3133163870,4,ok,
7,8,0.4,1000,2,2,5,1,1,-1929.9347271328857,0,1,4169308740,3133163870,5,ok,
7,8,0.4,1000,2,2,6,1,0,-1929.9347271328857,0,1,4169308740,3133163870,6,ok,
7,8,0.4,1000,2,2,7,1,2,-1930.152575285761,0,1,4169308740,3133163870,7,ok,
7,8,0.4,1000,2,2,8,0,3,-1927.5330660782374,0,1,4169308740,3133163870,8,ok,
7,8,0.4,1000,2,2,9,1,3,-1929.3645338296146,0,1,4169308740,3133163870,9,ok,
7,8,0.4,1000,2,2,10,1,3,-1929.5824940378884,0,1,4169308740,3133163870,10,ok,
8,8,0.4,1000,2,2,1,0,0,-1992.3053142538329,1,1,2715582398,2334851558,1,ok,
8,8,0.4,1000,2,2,2,0,1,-1992.3053142538151,0,1,2715582398,2334851558,2,ok,
8,8,0.4,1000,2,2,3,1,1,-1993.3909241382598,0,1,2715582398,2334851558,3,ok,
8,8,0.4,1000,2,2,4,1,0,-1993.3909241382776,0,1,2715582398,2334851558,4,ok,
8,8,0.4,1000,2,2,5,1,1,-1994.0722915780543,0,1,2715582398,2334851558,5,ok,
8,8,0.4,1000,2,2,6,1,0,-1994.072291578072,0,1,2715582398,2334851558,6,ok,
8,8,0.4,1000,2,2,7,1,1,-1994.2648668457591,0,1,2715582398,2334851558,7,ok,
8,8,0.4,1000,2,2,8,1,0,-1994.2648668457769,0,1,2715582398,2334851558,8,ok,
