run_id,d,density,n_samples,epsilon,delta,k,ds,dp,bic_score,is_true_at_k,found_true_by_k,graph_seed,noise_seed,frontier_size,status,error_message
0,10,0.4,20,2,2,1,17,6,-71.69555471180516,0,0,3653403230,2735729614,1,ok,
0,10,0.4,20,2,2,2,15,7,-64.92080884994995,0,0,3653403230,2735729614,2,ok,
0,10,0.4,20,2,2,3,15,7,-59.65304686403178,0,0,3653403230,2735729614,3,ok,
0,10,0.4,20,2,2,4,15,9,-55.804076885832586,0,0,3653403230,2735729614,4,ok,
0,10,0.4,20,2,2,5,13,9,-53.22957711607147,0,0,3653403230,2735729614,5,ok,
0,10,0.4,20,2,2,6,13,9,-51.14870215216027,0,0,3653403230,2735729614,6,ok,
0,10,0.4,20,2,2,7,11,9,-50.17377815059237,0,0,3653403230,2735729614,7,ok,
0,10,0.4,20,2,2,8,11,9,-49.55957849021064,0,0,3653403230,2735729614,8,ok,
0,10,0.4,20,2,2,9,13,9,-49.12524963377089,0,0,3653403230,2735729614,9,ok,
0,10,0.4,20,2,2,10,15,10,-48.30119248678679,0,0,3653403230,2735729614,10,ok,
1,10,0.4,20,2,2,1,12,5,-32.24510097419514,0,0,2195314464,1158725111,1,ok,
1,10,0.4,20,2,2,2,12,6,-27.26146398194583,0,0,2195314464,1158725111,2,ok,
1,10,0.4,20,2,2,3,12,6,-26.00903119324716,0,0,2195314464,1158725111,3,ok,
1,10,0.4,20,2,2,4,12,7,-24.956850080220903,0,0,2195314464,1158725111,4,ok,
1,10,0.4,20,2,2,5,11,7,-24.860101755253375,0,0,2195314464,1158725111,5,ok,
1,10,0.4,20,2,2,6,9,9,-24.826184020366235,0,0,2195314464,1158725111,6,ok,
1,10,0.4,20,2,2,7,10,9,-23.755388076165985,0,0,2195314464,1158725111,7,ok,
1,10,0.4,20,2,2,8,8,6,-23.787812749666106,0,0,2195314464,1158725111,8,ok,
1,10,0.4,20,2,2,9,6,2,-23.166409620359467,0,0,2195314464,1158725111,9,ok,
1,10,0.4,20,2,2,10,6,2,-23.166409620359453,0,0,2195314464,1158725111,10,ok,
2,10,0.4,20,2,2,1,9,4,-18.324055213104,0,0,1322117303,175979944,1,ok,
2,10,0.4,20,2,2,2,9,4,-12.732558003170087,0,0,1322117303,175979944,2,ok,
2,10,0.4,20,2,2,3,11,5,-8.496168061074581,0,0,1322117303,175979944,3,ok,
2,10,0.4,20,2,2,4,13,6,-5.441118248350922,0,0,1322117303,175979944,4,ok,
2,10,0.4,20,2,2,5,13,6,-3.2327674037696967,0,0,1322117303,175979944,5,ok,
2,10,0.4,20,2,2,6,14,6,-2.3507526803606202,0,0,1322117303,175979944,6,ok,
2,10,0.4,20,2,2,7,13,6,-2.651982529822418,0,0,1322117303,175979944,7,ok,
2,10,0.4,20,2,2,8,16,6,-2.681694249747218,0,0,1322117303,175979944,8,ok,
2,10,0.4,20,2,2,9,15,6,-2.7510938766131074,0,0,1322117303,175979944,9,ok,
2,10,0.4,20,2,2,10,14,7,-2.8325277714675954,0,0,1322117303,175979944,10,ok,
3,10,0.4,20,2,2,1,12,2,-72.8131893992137,0,0,323153948,70985653,1,ok,
3,10,0.4,20,2,2,2,10,2,-63.26450753684229,0,0,323153948,70985653,2,ok,
3,10,0.4,20,2,2,3,10,2,-52.736012789198526,0,0,323153948,70985653,3,ok,
3,10,0.4,20,2,2,4,10,2,-50.049666859387074,0,0,323153948,70985653,4,ok,
3,10,0.4,20,2,2,5,10,3,-49.5571359049751,0,0,323153948,70985653,5,ok,
3,10,0.4,20,2,2,6,10,4,-49.20377751459213,0,0,323153948,70985653,6,ok,
