run_id,d,density,n_samples,epsilon,delta,k,ds,dp,bic_score,is_true_at_k,found_true_by_k,graph_seed,noise_seed,frontier_size,status,error_message
0,6,0.4,1000,1,1,1,0,0,-1102.6001003280178,1,1,3653403230,2735729614,1,ok,
0,6,0.4,1000,1,1,2,0,1,-1102.6001003280176,0,1,3653403230,2735729614,2,ok,
0,6,0.4,1000,1,1,3,1,1,-1105.4123916363546,0,1,3653403230,2735729614,3,ok,
0,6,0.4,1000,1,1,4,1,0,-1105.4123916363549,0,1,3653403230,2735729614,4,ok,
0,6,0.4,1000,1,1,5,1,2,-1105.412960093679,0,1,3653403230,2735729614,5,ok,
0,6,0.4,1000,1,1,6,0,3,-1102.6001003280176,0,1,3653403230,2735729614,6,ok,
0,6,0.4,1000,1,1,7,1,3,-1105.4123916363546,0,1,3653403230,2735729614,7,ok,
0,6,0.4,1000,1,1,8,1,3,-1105.412960093679,0,1,3653403230,2735729614,8,ok,
0,6,0.4,1000,1,1,9,1,1,-1105.412960093679,0,1,3653403230,2735729614,9,ok,
0,6,0.4,1000,1,1,10,1,0,-1105.412960093679,0,1,3653403230,2735729614,10,ok,
0,6,0.4,1000,1,2,1,0,0,-1102.6001003280178,1,1,3653403230,2735729614,1,ok,
0,6,0.4,1000,1,2,2,0,1,-1102.6001003280176,0,1,3653403230,2735729614,2,ok,
0,6,0.4,1000,1,2,3,0,3,-1102.6001003280176,0,1,3653403230,2735729614,3,ok,
0,6,0.4,1000,1,2,4,1,3,-1105.4123916363546,0,1,3653403230,2735729614,4,ok,
0,6,0.4,1000,1,2,5,1,1,-1105.4123916363546,0,1,3653403230,2735729614,5,ok,
0,6,0.4,1000,1,2,6,1,0,-1105.4123916363549,0,1,3653403230,2735729614,6,ok,
0,6,0.4,1000,1,2,7,1,3,-1105.412960093679,0,1,3653403230,2735729614,7,ok,
0,6,0.4,1000,1,2,8,1,2,-1105.412960093679,0,1,3653403230,2735729614,8,ok,
0,6,0.4,1000,1,2,9,1,1,-1105.412960093679,0,1,3653403230,2735729614,9,ok,
0,6,0.4,1000,1,2,10,1,1,-1105.412960093679,0,1,3653403230,2735729614,10,ok,
0,6,0.4,1000,2,1,1,0,0,-1102.6001003280178,1,1,3653403230,2735729614,1,ok,
0,6,0.4,1000,2,1,2,0,1,-1102.6001003280176,0,1,3653403230,2735729614,2,ok,
0,6,0.4,1000,2,1,3,1,1,-1105.4123916363546,0,1,3653403230,2735729614,3,ok,
0,6,0.4,1000,2,1,4,1,0,-1105.4123916363549,0,1,3653403230,2735729614,4,ok,
0,6,0.4,1000,2,1,5,1,2,-1105.412960093679,0,1,3653403230,2735729614,5,ok,
0,6,0.4,1000,2,1,6,0,3,-1102.6001003280176,0,1,3653403230,2735729614,6,ok,
0,6,0.4,1000,2,1,7,1,3,-1105.4123916363546,0,1,3653403230,2735729614,7,ok,
0,6,0.4,1000,2,1,8,1,3,-1105.412960093679,0,1,3653403230,2735729614,8,ok,
0,6,0.4,1000,2,1,9,1,1,-1105.412960093679,0,1,3653403230,2735729614,9,ok,
0,6,0.4,1000,2,1,10,1,1,-1105.412960093679,0,1,3653403230,2735729614,10,ok,
