run_id,d,density,n_samples,epsilon,delta,k,ds,dp,bic_score,is_true_at_k,found_true_by_k,graph_seed,noise_seed,frontier_size,status,error_message
0,6,0.4,20,2,2,1,1,1,-15.605367545309539,0,0,3653403230,2735729614,1,ok,
0,6,0.4,20,2,2,2,2,2,-15.467504657655352,0,0,3653403230,2735729614,2,ok,
0,6,0.4,20,2,2,3,2,1,-15.467504657655352,0,0,3653403230,2735729614,3,ok,
0,6,0.4,20,2,2,4,1,2,-15.605367545309539,0,0,3653403230,2735729614,4,ok,
0,6,0.4,20,2,2,5,3,2,-15.700543786219498,0,0,3653403230,2735729614,5,ok,
0,6,0.4,20,2,2,6,3,1,-15.700543786219498,0,0,3653403230,2735729614,6,ok,
0,6,0.4,20,2,2,7,2,3,-15.83840667387366,0,0,3653403230,2735729614,7,ok,
0,6,0.4,20,2,2,8,2,2,-15.83840667387366,0,0,3653403230,2735729614,8,ok,
0,6,0.4,20,2,2,9,2,2,-15.838406673873685,0,0,3653403230,2735729614,9,ok,
0,6,0.4,20,2,2,10,2,1,-15.838406673873685,0,0,3653403230,2735729614,10,ok,
1,6,0.4,20,2,2,1,4,3,-26.960012646809645,0,0,2195314464,1158725111,1,ok,
1,6,0.4,20,2,2,2,4,3,-18.56690890288455,0,0,2195314464,1158725111,2,ok,
1,6,0.4,20,2,2,3,5,3,-16.08470835055582,0,0,2195314464,1158725111,3,ok,
1,6,0.4,20,2,2,4,5,5,-16.084708350555825,0,0,2195314464,1158725111,4,ok,
1,6,0.4,20,2,2,5,5,4,-16.08470835055583,0,0,2195314464,1158725111,5,ok,
1,6,0.4,20,2,2,6,4,5,-16.42368207180337,0,0,2195314464,1158725111,6,ok,
1,6,0.4,20,2,2,7,4,4,-16.42368207180337,0,0,2195314464,1158725111,7,ok,
1,6,0.4,20,2,2,8,4,3,-16.42368207180337,0,0,2195314464,1158725111,8,ok,
1,6,0.4,20,2,2,9,7,4,-16.555742650773617,0,0,2195314464,1158725111,9,ok,
1,6,0.4,20,2,2,10,5,3,-16.054136973356954,0,0,2195314464,1158725111,10,ok,
2,6,0.4,20,2,2,1,3,0,-20.38035926607838,0,0,1322117303,175979944,1,ok,
2,6,0.4,20,2,2,2,3,1,-18.341572500574152,0,0,1322117303,175979944,2,ok,
2,6,0.4,20,2,2,3,3,0,-18.341572500574152,0,0,1322117303,175979944,3,ok,
2,6,0.4,20,2,2,4,3,3,-18.341572500574163,0,0,1322117303,175979944,4,ok,
2,6,0.4,20,2,2,5,5,2,-18.35373128790346,0,0,1322117303,175979944,5,ok,
2,6,0.4,20,2,2,6,5,1,-18.353731287903468,0,0,1322117303,175979944,6,ok,
2,6,0.4,20,2,2,7,5,2,-18.35373128790347,0,0,1322117303,175979944,7,ok,
2,6,0.4,20,2,2,8,4,3,-18.84121362739965,0,0,1322117303,175979944,8,ok,
2,6,0.4,20,2,2,9,5,5,-18.35373128790346,0,0,1322117303,175979944,9,ok,
2,6,0.4,20,2,2,10,3,6,-18.341572500574152,0,0,1322117303,175979944,10,ok,
3,6,0.4,20,2,2,1,3,0,-59.536188860243314,0,0,323153948,70985653,1,ok,
3,6,0.4,20,2,2,2,1,0,-52.8965748317331,0,0,323153948,70985653,2,ok,
3,6,0.4,20,2,2,3,1,0,-49.13883205748181,0,0,323153948,70985653,3,ok,
3,6,0.4,20,2,2,4,1,0,-49.13883205748181,0,0,323153948,70985653,4,ok,
3,6,0.4,20,2,2,5,3,0,-49.49648792073256,0,0,323153948,70985653,5,ok,
3,6,0.4,20,2,2,6,3,0,-49.49648792073257,0,0,323153948,70985653,6,ok,
3,6,0.4,20,2,2,7,2,0,-49.67378412064061,0,0,323153948,70985653,7,ok,
3,6,0.4,20,2,2,8,2,0,-49.67378412064062,0,0,323153948,70985653,8,ok,
3,6,0.4,20,2,2,9,3,0,-49.70918708571448,0,0,323153948,70985653,9,ok,
3,6,0.4,20,2,2,10,3,0,-49.70918708571449,0,0,323153948,70985653,10,ok,
4,6,0.4,20,2,2,1,1,0,-58.81110908338294,0,0,752767290,3492969079,1,ok,
4,6,0.4,20,2,2,2,1,0,-55.488526981891944,0,0,752767290,3492969079,2,ok,
4,6,0.4,20,2,2,3,1,1,-55.488526981891994,0,0,752767290,3492969079,3,ok,
4,6,0.4,20,2,2,4,3,1,-55.586354862939075,0,0,752767290,3492969079,4,ok,
4,6,0.4,20,2,2,5,3,2,-55.58635486293912,0,0,752767290,3492969079,5,ok,
4,6,0.4,20,2,2,6,1,1,-55.60335116392227,0,0,752767290,3492969079,6,ok,
4,6,0.4,20,2,2,7,1,1,-55.60335116392222,0,0,752767290,3492969079,7,ok,
4,6,0.4,20,2,2,8,1,3,-54.75413838699521,0,0,752767290,3492969079,8,ok,
4,6,0.4,20,2,2,9,1,4,-54.75413838699525,0,0,752767290,3492969079,9,ok,
4,6,0.4,20,2,2,10,2,3,-55.00521975608126,0,0,752767290,3492969079,10,ok,
5,6,0.4,20,2,2,1,8,4,-7.6852289140318195,0,0,2789219405,3920255352,1,ok,
5,6,0.4,20,2,2,2,8,4,-0.4918955764502404,0,0,2789219405,3920255352,2,ok,
5,6,0.4,20,2,2,3,6,5,0.800418877571921,0,0,2789219405,3920255352,3,ok,
5,6,0.4,20,2,2,4,6,6,0.8004188775719139,0,0,2789219405,3920255352,4,ok,
5,6,0.4,20,2,2,5,6,4,0.8004188775719032,0,0,2789219405,3920255352,5,ok,
5,6,0.4,20,2,2,6,7,6,0.7431129635371732,0,0,2789219405,3920255352,6,ok,
5,6,0.4,20,2,2,7,5,9,2.0295624347094345,0,0,2789219405,3920255352,7,ok,
5,6,0.4,20,2,2,8,4,9,2.796286115838329,0,0,2789219405,3920255352,8,ok,
5,6,0.4,20,2,2,9,4,9,2.796286115838322,0,0,2789219405,3920255352,9,ok,
5,6,0.4,20,2,2,10,4,9,2.7962861158383165,0,0,2789219405,3920255352,10,ok,
6,6,0.4,20,2,2,1,1,0,-41.75448810838657,0,0,2163061374,2605480816,1,ok,
6,6,0.4,20,2,2,2,1,2,-40.4353664589687,0,0,2163061374,2605480816,2,ok,
6,6,0.4,20,2,2,3,1,1,-40.435366458968716,0,0,2163061374,2605480816,3,ok,
6,6,0.4,20,2,2,4,1,2,-40.43536645896872,0,0,2163061374,2605480816,4,ok,
6,6,0.4,20,2,2,5,0,2,-40.589075394498096,0,0,2163061374,2605480816,5,ok,
6,6,0.4,20,2,2,6,0,1,-40.58907539449811,0,0,2163061374,2605480816,6,ok,
6,6,0.4,20,2,2,7,0,3,-40.589075394498195,0,0,2163061374,2605480816,7,ok,
6,6,0.4,20,2,2,8,0,2,-40.58907539449822,0,0,2163061374,2605480816,8,ok,
6,6,0.4,20,2,2,9,0,0,-40.589075394498366,1,1,2163061374,2605480816,9,ok,
