d,density,n_samples,epsilon,delta,n_runs,n_success,success_rate_within_kmax,recover_k_mean_found_only,recover_k_std_found_only,recover_k_ci95_low_found_only,recover_k_ci95_high_found_only
5,0.4,20,1,1,50,27,0.54,3.4444444444444446,2.2072142786315223,2.611878415932076,4.277010472956813
5,0.4,20,1,2,50,21,0.42,3.3333333333333335,2.008316044185609,2.4743623727583492,4.192304293908318
5,0.4,20,2,1,50,27,0.54,3.4074074074074074,2.274596485926498,2.549424663688413,4.265390151126402
5,0.4,20,2,2,50,22,0.44,3.5454545454545454,2.6855392777096396,2.423239105749251,4.66766998515984
5,0.4,500,1,1,50,50,1.0,1.54,1.6314510881608508,1.087784829975818,1.9922151700241821
5,0.4,500,1,2,50,48,0.96,1.4166666666666667,1.2854891168359015,1.052999697720351,1.7803336356129824
5,0.4,500,2,1,50,50,1.0,1.52,1.581009752257934,1.0817664549580899,1.9582335450419102
5,0.4,500,2,2,50,47,0.94,1.3829787234042554,1.2078221775497182,1.0376679389521095,1.7282895078564013
5,0.4,10000,1,1,50,50,1.0,1.08,0.5656854249492379,0.9232000000000001,1.2368000000000001
5,0.4,10000,1,2,50,50,1.0,1.08,0.5656854249492379,0.9232000000000001,1.2368000000000001
5,0.4,10000,2,1,50,50,1.0,1.08,0.5656854249492379,0.9232000000000001,1.2368000000000001
5,0.4,10000,2,2,50,50,1.0,1.08,0.5656854249492379,0.9232000000000001,1.2368000000000001
