d,density,n_samples,epsilon,delta,n_runs,n_success,success_rate_within_kmax,recover_k_mean_found_only,recover_k_std_found_only,recover_k_ci95_low_found_only,recover_k_ci95_high_found_only
5,0.4,20,1,1,5,3,0.6,3.6666666666666665,1.5275252316519465,1.9381091434378008,5.395224189895532
5,0.4,20,1,2,5,3,0.6,5.333333333333333,2.0816659994661326,2.977706500030193,7.688960166636473
5,0.4,20,2,1,5,3,0.6,3.6666666666666665,1.5275252316519465,1.9381091434378008,5.395224189895532
5,0.4,20,2,2,5,3,0.6,5.333333333333333,2.0816659994661326,2.977706500030193,7.688960166636473
5,0.4,500,1,1,5,5,1.0,3.2,3.898717737923586,0.0,6.617376771735888
5,0.4,500,1,2,5,5,1.0,1.8,1.0954451150103324,0.8398000208289941,2.760199979171006
5,0.4,500,2,1,5,5,1.0,3.0,3.4641016151377544,0.0,6.0364189434266144
5,0.4,500,2,2,5,5,1.0,1.8,1.0954451150103324,0.8398000208289941,2.760199979171006
5,0.4,10000,1,1,5,5,1.0,4.6,2.8809720581775866,2.0747166495618754,7.125283350438124
5,0.4,10000,1,2,5,5,1.0,2.6,1.140175425099138,1.6005921753358143,3.599407824664186
5,0.4,10000,2,1,5,5,1.0,4.0,2.1213203435596424,2.1405807358209934,5.859419264179007
5,0.4,10000,2,2,5,5,1.0,2.6,1.140175425099138,1.6005921753358143,3.599407824664186
