run_id,algorithm,d,density,n_samples,ds,dp,runtime_sec,graph_seed,noise_seed,status,error_message
0,pc,5,0.2,20,0.0,0.0,0.5236397439148277,3653403230,2735729614,ok,
0,ges,5,0.2,20,1.0,0.0,0.03682790300808847,3653403230,2735729614,ok,
0,boss,5,0.2,20,1.0,0.0,0.03049767902120948,3653403230,2735729614,ok,
1,pc,5,0.2,20,0.0,0.0,0.01323321321979165,2195314464,1158725111,ok,
1,ges,5,0.2,20,0.0,0.0,0.013660707045346498,2195314464,1158725111,ok,
1,boss,5,0.2,20,2.0,0.0,0.012343840906396508,2195314464,1158725111,ok,
2,pc,5,0.2,20,1.0,0.0,0.013807089067995548,1322117303,175979944,ok,
2,ges,5,0.2,20,1.0,0.0,0.014276942005380988,1322117303,175979944,ok,
2,boss,5,0.2,20,1.0,0.0,0.012664189096540213,1322117303,175979944,ok,
3,pc,5,0.2,20,1.0,0.0,0.03157262993045151,323153948,70985653,ok,
3,ges,5,0.2,20,1.0,0.0,0.0345824989490211,323153948,70985653,ok,
3,boss,5,0.2,20,0.0,0.0,0.006919997977092862,323153948,70985653,ok,
4,pc,5,0.2,20,0.0,0.0,0.011521623935550451,752767290,3492969079,ok,
4,ges,5,0.2,20,2.0,1.0,0.01870253006927669,752767290,3492969079,ok,
4,boss,5,0.2,20,0.0,0.0,0.010588254081085324,752767290,3492969079,ok,
5,pc,5,0.2,20,1.0,0.0,0.01668111584149301,2789219405,3920255352,ok,
5,ges,5,0.2,20,3.0,2.0,0.02696230891160667,2789219405,3920255352,ok,
5,boss,5,0.2,20,2.0,0.0,0.015519542852416635,2789219405,3920255352,ok,
6,pc,5,0.2,20,0.0,0.0,0.011625498067587614,2163061374,2605480816,ok,
6,ges,5,0.2,20,0.0,0.0,0.013014503987506032,2163061374,2605480816,ok,
6,boss,5,0.2,20,0.0,0.0,0.010390441864728928,2163061374,2605480816,ok,
7,pc,5,0.2,20,1.0,0.0,0.037116391118615866,4169308740,3133163870,ok,
7,ges,5,0.2,20,1.0,0.0,0.03331021498888731,4169308740,3133163870,ok,
7,boss,5,0.2,20,1.0,0.0,0.036104839062318206,4169308740,3133163870,ok,
8,pc,5,0.2,20,0.0,0.0,0.011916945921257138,2715582398,2334851558,ok,
8,ges,5,0.2,20,1.0,1.0,0.027653418015688658,2715582398,2334851558,ok,
8,boss,5,0.2,20,0.0,0.0,0.010396487079560757,2715582398,2334851558,ok,
9,pc,5,0.2,20,0.0,0.0,0.011221008840948343,2404827116,4016105478,ok,
9,ges,5,0.2,20,0.0,0.0,0.013069106033071876,2404827116,4016105478,ok,
9,boss,5,0.2,20,1.0,0.0,0.010877060005441308,2404827116,4016105478,ok,
10,pc,5,0.2,20,1.0,0.0,0.012497927993535995,1191196491,3504064332,ok,
10,ges,5,0.2,20,0.0,0.0,0.013841956853866577,1191196491,3504064332,ok,
10,boss,5,0.2,20,2.0,0.0,0.033320503076538444,1191196491,3504064332,ok,
11,pc,5,0.2,20,1.0,0.0,0.03394170897081494,2881392815,11761767,ok,
11,ges,5,0.2,20,0.0,0.0,0.013608293840661645,2881392815,11761767,ok,
11,boss,5,0.2,20,2.0,0.0,0.010603040922433138,2881392815,11761767,ok,
12,pc,5,0.2,20,0.0,0.0,0.01227538101375103,1692857839,3682523326,ok,
12,ges,5,0.2,20,0.0,0.0,0.013385722879320383,1692857839,3682523326,ok,
12,boss,5,0.2,20,2.0,0.0,0.03314662887714803,1692857839,3682523326,ok,
13,pc,5,0.2,20,1.0,0.0,0.02092899288982153,2380764446,144248946,ok,
13,ges,5,0.2,20,0.0,0.0,0.014808099018409848,2380764446,144248946,ok,
13,boss,5,0.2,20,2.0,0.0,0.029792159097269177,2380764446,144248946,ok,
14,pc,5,0.2,20,2.0,0.0,0.01275628199800849,3285177208,3133846278,ok,
14,ges,5,0.2,20,2.0,0.0,0.014160530176013708,3285177208,3133846278,ok,
14,boss,5,0.2,20,0.0,0.0,0.006619516061618924,3285177208,3133846278,ok,
15,pc,5,0.2,20,0.0,0.0,0.011605643900111318,3636012965,754435144,ok,
15,ges,5,0.2,20,1.0,0.0,0.03268574504181743,3636012965,754435144,ok,
15,boss,5,0.2,20,0.0,0.0,0.011161634000018239,3636012965,754435144,ok,
16,pc,5,0.2,20,1.0,0.0,0.017004227032884955,383483661,3707325241,ok,
16,ges,5,0.2,20,0.0,0.0,0.00904218596406281,383483661,3707325241,ok,
16,boss,5,0.2,20,0.0,0.0,0.006411670939996839,383483661,3707325241,ok,
17,pc,5,0.2,20,0.0,0.0,0.012063846923410892,94927149,2325558232,ok,
17,ges,5,0.2,20,2.0,0.0,0.015720059163868427,94927149,2325558232,ok,
17,boss,5,0.2,20,0.0,0.0,0.0110712181776762,94927149,2325558232,ok,
18,pc,5,0.2,20,1.0,0.0,0.01678403210826218,345313847,1287252767,ok,
18,ges,5,0.2,20,3.0,0.0,0.02574791107326746,345313847,1287252767,ok,
18,boss,5,0.2,20,1.0,0.0,0.01547024492174387,345313847,1287252767,ok,
19,pc,5,0.2,20,1.0,0.0,0.01666951784864068,2066142960,1815427790,ok,
19,ges,5,0.2,20,2.0,1.0,0.010613303165882826,2066142960,1815427790,ok,
19,boss,5,0.2,20,0.0,0.0,0.012070332886651158,2066142960,1815427790,ok,
20,pc,5,0.2,20,1.0,0.0,0.03609298216179013,1731896075,121632060,ok,
20,ges,5,0.2,20,0.0,0.0,0.013516952050849795,1731896075,121632060,ok,
20,boss,5,0.2,20,1.0,0.0,0.03474106383509934,1731896075,121632060,ok,
21,pc,5,0.2,20,0.0,0.0,0.012343372916802764,22989415,533792607,ok,
21,ges,5,0.2,20,1.0,0.0,0.020732382079586387,22989415,533792607,ok,
21,boss,5,0.2,20,0.0,0.0,0.011641249991953373,22989415,533792607,ok,
22,pc,5,0.2,20,0.0,0.0,0.011467249132692814,35580839,2880309928,ok,
22,ges,5,0.2,20,2.0,2.0,0.01596445101313293,35580839,2880309928,ok,
22,boss,5,0.2,20,0.0,0.0,0.01106822513975203,35580839,2880309928,ok,
23,pc,5,0.2,20,1.0,0.0,0.01645488222129643,2257511098,2779657785,ok,
23,ges,5,0.2,20,2.0,0.0,0.017317754914984107,2257511098,2779657785,ok,
23,boss,5,0.2,20,1.0,0.0,0.014994163066148758,2257511098,2779657785,ok,
24,pc,5,0.2,20,0.0,0.0,0.011882147984579206,1105094192,2643058927,ok,
24,ges,5,0.2,20,3.0,1.0,0.02747000800445676,1105094192,2643058927,ok,
